"","X.1","X","Kingdom","Phylum","Class","Order","Family","Genus","Species","Organism","TaxID","Assembly_Accession","Assembly_Status","Accession_Date","Assembly_Length_Total","Assembly_Length_Ungapped","BUSCO_RefseqAnnotationRelease","BUSCO_Lineage","BUSCO_Cover","BUSCO_Complete","BUSCO_SingleCopy","BUSCO_Duplicated","BUSCO_Fragmented","BUSCO_Missing","BUSCO_TotalCount","ContigN50","ScaffoldN50","Sequencing_Method","Sequencing_Attributes","SRA_Species","Species.1","Sequencing_method_1","Sequencing_method_2","Species.2","GS","AssblySz","Seq_Method","Diff","DiffProp","Species.3","GS.1","AssblySz.1","Seq_Method.1","UR","Diff.1","DiffProp.1"
"306",1042,1042,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila mulleri","Drosophila mulleri (flies)",7231,"GCA_035047565.1","Contig","2023/09/29",159579146,159579146,"","","",NA,NA,NA,NA,NA,NA,7964008,7964008,"OXFORD_NANOPORE","MinION","Drosophila mulleri","Drosophila mulleri","OXFORD_NANOPORE","","Drosophila mulleri",163600000,159579146,"OXFORD_NANOPORE",4020854,0.0245773471882641,"Drosophila mulleri",163600000,159579146,"OXFORD_NANOPORE",0.916,4020854,0.0245773471882641
"307",1048,1048,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila sordidula","Drosophila sordidula (flies)",55950,"GCA_035047465.1","Contig","2023/09/29",166348719,166348719,"","","",NA,NA,NA,NA,NA,NA,8644452,8644452,"OXFORD_NANOPORE","MinION","Drosophila sordidula","Drosophila sordidula","OXFORD_NANOPORE","","Drosophila sordidula",228450000,166348719,"OXFORD_NANOPORE",62101281,0.271837518056467,"Drosophila sordidula",228450000,166348719,"OXFORD_NANOPORE",0.6885,62101281,0.271837518056467
"308",1051,1051,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila tripunctata","Drosophila tripunctata (flies)",141217,"GCA_035047385.1","Contig","2023/09/29",164071812,164071812,"","","",NA,NA,NA,NA,NA,NA,5007959,5007959,"OXFORD_NANOPORE","MinION","Drosophila tripunctata","Drosophila tripunctata","OXFORD_NANOPORE","","Drosophila tripunctata",184450000,164071812,"OXFORD_NANOPORE",20378188,0.110480824071564,"Drosophila tripunctata",184450000,164071812,"OXFORD_NANOPORE",0.7635,20378188,0.110480824071564
"312",1059,1059,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila bunnanda","Drosophila bunnanda (flies)",244254,"GCA_035046265.1","Contig","2023/09/29",157914859,157914859,"","","",NA,NA,NA,NA,NA,NA,20724371,20724371,"ILLUMINA","Illumina NovaSeq 6000","Drosophila bunnanda","Drosophila bunnanda","ILLUMINA","","Drosophila bunnanda",228653333.333333,157914859,"ILLUMINA",70738474.333333,0.309369967636596,"Drosophila bunnanda",235400000,157914859,"ILLUMINA",0.65,77485141,0.329163725573492
"313",1061,1061,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila rubida","Drosophila rubida (flies)",30044,"GCA_035046165.1","Contig","2023/09/29",138725091,138725091,"","","",NA,NA,NA,NA,NA,NA,26394667,26394667,"OXFORD_NANOPORE","PromethION","Drosophila rubida","Drosophila rubida","OXFORD_NANOPORE","","Drosophila rubida",216060000,138725091,"OXFORD_NANOPORE",77334909,0.357932560399889,"Drosophila rubida",216060000,138725091,"OXFORD_NANOPORE",0.5955,77334909,0.357932560399889
"316",1064,1064,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila serrata","Drosophila serrata (flies)",7274,"GCA_035046125.1","Scaffold","2023/09/29",174651110,174650910,"","","",NA,NA,NA,NA,NA,NA,3746959,3746959,"OXFORD_NANOPORE","PromethION","Drosophila serrata","Drosophila serrata","OXFORD_NANOPORE","","Drosophila serrata",215960000,174651110,"OXFORD_NANOPORE",41308890,0.191280283385812,"Drosophila serrata",221250000,174651110,"OXFORD_NANOPORE",0.8185,46598890,0.210616451977401
"317",1065,1065,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila yakuba","Drosophila yakuba (flies)",7245,"GCA_035046025.1","Contig","2023/09/29",146729826,146729826,"","","",NA,NA,NA,NA,NA,NA,20177370,20177370,"OXFORD_NANOPORE","PromethION","Drosophila yakuba","Drosophila yakuba","OXFORD_NANOPORE","","Drosophila yakuba",173612000,146729826,"OXFORD_NANOPORE",26882174,0.154840529456489,"Drosophila yakuba",179750000,146729826,"OXFORD_NANOPORE",0.77,33020174,0.183700550764951
"318",1066,1066,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Zaprionus","Zaprionus bogoriensis","Zaprionus bogoriensis (flies)",309927,"GCA_035046045.1","Contig","2023/09/29",160681420,160681420,"","","",NA,NA,NA,NA,NA,NA,2433529,2433529,"ILLUMINA","Illumina NovaSeq 6000","Zaprionus bogoriensis","Zaprionus bogoriensis","ILLUMINA","","Zaprionus bogoriensis",225600000,160681420,"ILLUMINA",64918580,0.287759663120567,"Zaprionus bogoriensis",225600000,160681420,"ILLUMINA",0.7815,64918580,0.287759663120567
"320",1069,1069,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila affinis","Drosophila affinis (flies)",7246,"GCA_035045985.1","Contig","2023/09/29",183045933,183045933,"","","",NA,NA,NA,NA,NA,NA,6659275,6659275,"OXFORD_NANOPORE","MinION","Drosophila affinis","Drosophila affinis","OXFORD_NANOPORE","","Drosophila affinis",198470000,183045933,"OXFORD_NANOPORE",15424067,0.0777148536302716,"Drosophila affinis",196450000,183045933,"OXFORD_NANOPORE",0.853,13404067,0.0682314431152965
"321",1070,1070,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila anceps","Drosophila anceps (flies)",302448,"GCA_035045945.1","Contig","2023/09/29",158399667,158399667,"","","",NA,NA,NA,NA,NA,NA,9990161,9990161,"ILLUMINA","Illumina NovaSeq 6000","Drosophila anceps","Drosophila anceps","ILLUMINA","","Drosophila anceps",204650000,158399667,"ILLUMINA",46250333,0.225997229416076,"Drosophila anceps",204650000,158399667,"ILLUMINA",0.763,46250333,0.225997229416076
